,type,ccAgentID,ccDeviceID,datetime,date,time,hour
0,a,harsheva,harsheva,2022-05-05 10:28:00+03:00,2022-05-05,10:27:34,10
1,a,vlasovaoza,vlasovaoza,2022-04-30 18:01:00+03:00,2022-04-30,18:01:11,18
2,a,lobanova_ea_ksm,lobanova_ea_ksm,2022-05-04 15:06:00+03:00,2022-05-04,15:05:34,15
3,a,Elena_OP1,Elena_OP1,2022-05-13 12:16:00+03:00,2022-05-13,12:16:28,12
4,a,kulikova_eu_ksm,kulikova_eu_ksm,2022-04-29 14:26:00+03:00,2022-04-29,14:26:23,14
5,a,kalinina_uv_over,kalinina_uv_over,2022-04-27 13:31:00+03:00,2022-04-27,13:31:21,13
6,a,abdulaevoz,abdulaevoz,2022-04-27 14:05:00+03:00,2022-04-27,14:05:08,14
7,a,vekshina_v,vekshina_v,2022-05-16 13:18:00+03:00,2022-05-16,13:17:50,13
8,a,semenistayaoz,semenistayaoz,2022-05-14 14:17:00+03:00,2022-05-14,14:16:58,14
9,a,abdulaevoz,abdulaevoz,2022-05-07 16:53:00+03:00,2022-05-07,16:52:35,16
10,a,groshenkova_lp_ksm,groshenkova_lp_ksm,2022-04-27 12:00:00+03:00,2022-04-27,11:59:43,12
11,a,kostinaoz,kostinaoz,2022-05-11 13:42:00+03:00,2022-05-11,13:41:39,13
12,a,groshenkova_lp_ksm,groshenkova_lp_ksm,2022-05-05 11:49:00+03:00,2022-05-05,11:48:47,11
13,a,alieva_ep_rf,alieva_ep_rf,2022-05-04 11:14:00+03:00,2022-05-04,11:13:30,11
14,a,abdulaevoz,abdulaevoz,2022-04-29 12:40:00+03:00,2022-04-29,12:40:29,12
15,a,esina_ey,esina_ey,2022-05-17 11:04:00+03:00,2022-05-17,11:04:22,11
16,a,harsheva,harsheva,2022-05-06 09:05:00+03:00,2022-05-06,09:05:04,9
17,a,abdulaevoz,abdulaevoz,2022-04-29 14:51:00+03:00,2022-04-29,14:51:16,14
18,a,kostinaoz,kostinaoz,2022-05-04 09:31:00+03:00,2022-05-04,09:31:22,9
19,a,talaibekovaoz,talaibekovaoz,2022-04-28 14:18:00+03:00,2022-04-28,14:17:53,14
20,a,vlasovaoza,vlasovaoza,2022-05-04 18:53:00+03:00,2022-05-04,18:53:24,18
21,a,groshenkova_lp_ksm,groshenkova_lp_ksm,2022-05-11 15:35:00+03:00,2022-05-11,15:34:42,15
22,a,kostinaoz,kostinaoz,2022-04-28 10:21:00+03:00,2022-04-28,10:21:04,10
23,a,papushkina_nv_vover,papushkina_nv_vover,2022-05-06 10:07:00+03:00,2022-05-06,10:07:23,10
24,a,kostinaoz,kostinaoz,2022-04-29 20:06:00+03:00,2022-04-29,20:06:23,20
25,a,Rus,Rus,2022-05-04 11:25:00+03:00,2022-05-04,11:25:03,11
26,a,groshenkova_lp_ksm,groshenkova_lp_ksm,2022-05-04 16:31:00+03:00,2022-05-04,16:31:17,16
27,a,groshenkova_lp_ksm,groshenkova_lp_ksm,2022-04-29 12:35:00+03:00,2022-04-29,12:35:21,12
28,a,talaibekovaoz,talaibekovaoz,2022-05-04 09:18:00+03:00,2022-05-04,09:18:00,9
29,a,talaibekovaoz,talaibekovaoz,2022-05-04 15:16:00+03:00,2022-05-04,15:15:30,15
